# Frequency in GHz, Intensity in Jy/sr
357.7076813501217, 36.76861985582001
365.6902574008352, 28.911758505096152
375.1226831436147, 21.701661758102222
384.9618511138615, 16.125931096036872
398.7655520409222, 10.63638052462256
415.7032401282843, 6.239898480529751
431.9833659863349, 3.7278393950691218
444.917975597313, 2.424291939589362
457.94804998084976, 1.602253830495037
469.96158561658626, 1.0827505186698083
479.02581735480373, 0.8013191850653895
491.80131772105807, 0.530675791475041
504.70351143432015, 0.34931803465192296
517.7245504955395, 0.22947501407002727
531.7586516169805, 0.14565825862587922
542.2458510433366, 0.10290430819626811
553.4091311801911, 0.07299391716286406
563.8445602980028, 0.05188204881856237
574.2340558376493, 0.03548772897460335
586.3055294575402, 0.024224898315839526
600.9237075864795, 0.014767771998294618
616.9527748416036, 0.008876191267932905
633.1411312052023, 0.00526013612262693
645.9031872091965, 0.0035260196354864816
658.3641052410858, 0.002325700535179767
671.9200918857149, 0.0015308954227585734
684.8828148881425, 0.0010138396225614272
